TWD97_x,TWD97_y,zp
194748.26175527967,2596184.954715116,50.0
194748.26175527967,2596184.954715116,50.0
194748.1847989107,2596184.9856629465,50.0
194748.03088617272,2596185.0475586075,50.0
194747.80001706578,2596185.140402099,50.0
194747.49219158984,2596185.264193421,50.0
194747.10740974493,2596185.418932574,50.0
194746.64567153103,2596185.604619557,50.0
194746.10697694815,2596185.8212543707,50.0
194745.4913259963,2596186.068837015,50.0
194744.79871867545,2596186.3473674897,50.0
194744.02915498562,2596186.656845795,50.0
194743.1826349268,2596186.997271931,50.0
194742.25915849902,2596187.368645897,50.0
194741.25872570224,2596187.770967694,50.0
194740.18133653648,2596188.2042373214,50.0
194739.02699100174,2596188.6684547793,50.0
194737.795689098,2596189.1636200678,50.0
194736.4874308253,2596189.6897331867,50.0
194735.10221618362,2596190.2467941362,50.0
194733.64004517294,2596190.8348029163,50.0
194732.1009177933,2596191.453759527,50.0
194730.48483404465,2596192.103663968,50.0
194728.79179392703,2596192.7845162395,50.0
194727.02179744042,2596193.4963163417,50.0
194725.17484458484,2596194.2390642744,50.0
194723.25093536027,2596195.0127600376,50.0
194721.2500697667,2596195.8174036313,50.0
194719.17224780418,2596196.6529950555,50.0
194717.01746947266,2596197.5195343103,50.0
194714.78573477216,2596198.4170213956,50.0
194712.47704370267,2596199.3454563115,50.0
194710.0913962642,2596200.304839058,50.0
194707.62879245676,2596201.2951696347,50.0
194705.08923228033,2596202.316448042,50.0
194702.4727157349,2596203.36867428,50.0
194699.7792428205,2596204.4518483486,50.0
194697.00881353713,2596205.5659702476,50.0
194694.16142788477,2596206.711039977,50.0
194691.23708586342,2596207.887057537,50.0
194688.2357874731,2596209.094022928,50.0
194685.15753271378,2596210.331936149,50.0
194682.0023215855,2596211.6007972006,50.0
194678.7701540882,2596212.9006060828,50.0
194675.46103022195,2596214.2313627955,50.0
194672.0749499867,2596215.5930673387,50.0
194668.61191338248,2596216.9857197125,50.0
194665.07192040927,2596218.4093199167,50.0
194661.45497106708,2596219.8638679516,50.0
194657.7610653559,2596221.349363817,50.0
194653.99020327575,2596222.865807513,50.0
194650.1423848266,2596224.413199039,50.0
194646.2176100085,2596225.991538396,50.0
194642.2158788214,2596227.6008255836,50.0
194638.1371912653,2596229.2410606015,50.0
194633.98154734023,2596230.91224345,50.0
194629.74894704617,2596232.614374129,50.0
194625.43939038314,2596234.3474526387,50.0
194621.05287735112,2596236.111478979,50.0
194616.58940795012,2596237.9064531494,50.0
194612.04898218013,2596239.7323751505,50.0
194607.43160004116,2596241.589244982,50.0
194602.7372615332,2596243.4770626444,50.0
194597.96596665628,2596245.395828137,50.0
194593.11771541036,2596247.3455414604,50.0
194588.19250779547,2596249.3262026142,50.0
194583.19034381158,2596251.3378115986,50.0
194578.11122345872,2596253.3803684134,50.0
194572.95514673687,2596255.453873059,50.0
194567.72211364604,2596257.5583255347,50.0
194562.41212418623,2596259.693725841,50.0
194557.02517835743,2596261.860073978,50.0
194551.56127615966,2596264.0573699456,50.0
194546.0204175929,2596266.2856137436,50.0
194540.40260265715,2596268.544805372,50.0
194534.70783135243,2596270.834944831,50.0
194528.93610367872,2596273.156032121,50.0
194523.08741963602,2596275.508067241,50.0
194517.16177922435,2596277.8910501916,50.0
194511.1591824437,2596280.304980973,50.0
194505.07962929405,2596282.7498595845,50.0
194498.92311977543,2596285.2256860267,50.0
194492.68965388782,2596287.7324602995,50.0
194486.37923163123,2596290.270182403,50.0
194479.99185300566,2596292.8388523366,50.0
194473.5275180111,2596295.438470101,50.0
194466.98622664757,2596298.069035696,50.0
194460.36797891505,2596300.7305491213,50.0
194453.67277481355,2596303.423010377,50.0
194446.90061434306,2596306.1464194637,50.0
194440.0514975036,2596308.9007763807,50.0
194433.12542429514,2596311.686081128,50.0
194426.1223947177,2596314.5023337062,50.0
194419.0424087713,2596317.349534115,50.0
194411.8854664559,2596320.227682354,50.0
194404.6515677715,2596323.1367784236,50.0
194397.34071271814,2596326.0768223237,50.0
194389.9529012958,2596329.0478140544,50.0
194382.48813350446,2596332.0497536156,50.0
194374.94640934415,2596335.0826410074,50.0
194367.32772881485,2596338.1464762297,50.0
194359.63209191657,2596341.2412592825,50.0
194351.8594986493,2596344.366990166,50.0
194344.00994901307,2596347.5236688796,50.0
194336.08344300784,2596350.711295424,50.0
194328.07998063363,2596353.929869799,50.0
194319.99956189044,2596357.1793920044,50.0
194311.84218677826,2596360.4598620404,50.0
194303.6078552971,2596363.771279907,50.0
194295.29656744696,2596367.113645604,50.0
194286.90832322784,2596370.4869591314,50.0
194278.44312263973,2596373.8912204895,50.0
194269.90096568264,2596377.326429678,50.0
194261.28185235657,2596380.7925866973,50.0
194252.5857826615,2596384.289691547,50.0
194243.81275659747,2596387.817744227,50.0
194234.96277416445,2596391.376744738,50.0
194226.03583536245,2596394.966693079,50.0
194217.03194019146,2596398.587589251,50.0
194207.9510886515,2596402.239433253,50.0
194198.79328074254,2596405.922225086,50.0
194189.5585164646,2596409.6359647494,50.0
194180.2467958177,2596413.3806522433,50.0
194170.85811880179,2596417.1562875677,50.0
194161.3924854169,2596420.9628707226,50.0
194151.84989566304,2596424.800401708,50.0
194142.2303495402,2596428.668880524,50.0
194132.53384704835,2596432.5683071706,50.0
194122.76038818754,2596436.4986816477,50.0
194112.90997295774,2596440.4600039553,50.0
194102.98260135896,2596444.4522740934,50.0
194092.9782733912,2596448.475492062,50.0
194082.89698905445,2596452.529657861,50.0
194072.73874834873,2596456.614771491,50.0
194062.503551274,2596460.730832951,50.0
194052.19139783032,2596464.877842242,50.0
194041.80228801764,2596469.055799363,50.0
194031.33622183598,2596473.264704315,50.0
194020.79319928534,2596477.5045570973,50.0
194010.17322036572,2596481.77535771,50.0
193999.4762850771,2596486.0771061536,50.0
193988.70239341952,2596490.4098024275,50.0
193977.85154539294,2596494.773446532,50.0
193966.9237409974,2596499.168038467,50.0
193955.91898023285,2596503.5935782325,50.0
193944.83726309933,2596508.0500658285,50.0
193933.67858959682,2596512.537501255,50.0
193922.44295972533,2596517.055884512,50.0
