xp,yp,Hour,ymdh,zp
194748.26175527967,2596184.954715116,hour=0,ymd=2022071612_50,50.0
191520.062045298,2596888.3376193307,hour=1,ymd=2022071611_50,50.0
188320.42665801145,2596808.2718710816,hour=2,ymd=2022071610_50,50.0
185712.4258855278,2596324.682279139,hour=3,ymd=2022071609_50,50.0
184402.50988948293,2595611.829003378,hour=4,ymd=2022071608_50,50.0
183924.82375118084,2594918.3951942464,hour=5,ymd=2022071607_50,50.0
184226.18874075956,2594366.7309306404,hour=6,ymd=2022071606_50,50.0
185222.38357472367,2594050.626769348,hour=7,ymd=2022071605_50,50.0
186805.6932292687,2594052.47571335,hour=8,ymd=2022071604_50,50.0
189083.98439200543,2594185.302323188,hour=9,ymd=2022071603_50,50.0
191543.62742574833,2594111.4665432754,hour=10,ymd=2022071602_50,50.0
193594.83213291637,2594292.5004643197,hour=11,ymd=2022071601_50,50.0
195360.2544399271,2594464.4545018203,hour=12,ymd=2022071600_50,50.0
196751.0953395734,2594452.055450631,hour=13,ymd=2022071523_50,50.0
197974.8361459034,2594130.2490457087,hour=14,ymd=2022071522_50,50.0
197971.6653351108,2593603.1898484235,hour=15,ymd=2022071521_50,50.0
197983.93729727663,2593251.8739274372,hour=16,ymd=2022071520_50,50.0
197972.95403929747,2592889.0811594264,hour=17,ymd=2022071519_50,50.0
197983.18333693914,2592579.6300876085,hour=18,ymd=2022071518_50,50.0
197977.11134885944,2592323.9008509615,hour=19,ymd=2022071517_50,50.0
197955.3188236574,2592116.6362795387,hour=20,ymd=2022071516_50,50.0
197950.1921271304,2591941.4178025876,hour=21,ymd=2022071515_50,50.0
197697.23712173797,2591677.9568185066,hour=22,ymd=2022071514_50,50.0
197173.3671895931,2591284.3352625673,hour=23,ymd=2022071513_50,50.0
193963.69586486317,2591364.9593164087,hour=24,ymd=2022071512_50,50.0
191165.03698114253,2591929.673715887,hour=25,ymd=2022071511_50,50.0
188446.89451079018,2592730.9524602345,hour=26,ymd=2022071510_50,50.0
186536.19412909396,2593344.7039319477,hour=27,ymd=2022071509_50,50.0
185662.75045542367,2593838.026145443,hour=28,ymd=2022071508_50,50.0
185479.4596391897,2593838.7596807624,hour=29,ymd=2022071507_50,50.0
185992.7146325297,2593831.2796662054,hour=30,ymd=2022071506_50,50.0
186927.63382402057,2593832.699924386,hour=31,ymd=2022071505_50,50.0
188506.36085599655,2593861.8839982757,hour=32,ymd=2022071504_50,50.0
190651.48255769158,2593911.561205363,hour=33,ymd=2022071503_50,50.0
192822.43329766387,2594016.6275248555,hour=34,ymd=2022071502_50,50.0
194762.2196504771,2594269.9079988776,hour=35,ymd=2022071501_50,50.0
196191.04270463058,2594510.330820513,hour=36,ymd=2022071500_50,50.0
197581.88360427687,2594497.9317693235,hour=37,ymd=2022071423_50,50.0
197981.14454499626,2593811.9826997994,hour=38,ymd=2022071422_50,50.0
197977.30926523352,2593504.84736945,hour=39,ymd=2022071421_50,50.0
197979.2808983102,2593148.527709362,hour=40,ymd=2022071420_50,50.0
