xp,yp,Hour,ymdh,zp
179195.47552038115,2507359.697338924,hour=0,ymd=2022070612_50,50.0
179208.84983842858,2506834.729341248,hour=1,ymd=2022070611_50,50.0
179320.89642730766,2506823.778287573,hour=2,ymd=2022070610_50,50.0
179873.34311922305,2506766.6605900507,hour=3,ymd=2022070609_50,50.0
180796.38218333237,2505885.4595464002,hour=4,ymd=2022070608_50,50.0
182278.1909724068,2504839.4186692964,hour=5,ymd=2022070607_50,50.0
184204.0885288682,2503702.8940157723,hour=6,ymd=2022070606_50,50.0
185408.0270479288,2502223.4110184144,hour=7,ymd=2022070605_50,50.0
186240.79513327815,2500289.010700142,hour=8,ymd=2022070604_50,50.0
186477.55047900268,2498372.185130274,hour=9,ymd=2022070603_50,50.0
186130.26526487703,2497494.499277463,hour=10,ymd=2022070602_50,50.0
185471.47539245235,2496391.6488360427,hour=11,ymd=2022070601_50,50.0
184935.85471445965,2494824.5414475165,hour=12,ymd=2022070600_50,50.0
184937.33844632554,2494575.9715689905,hour=13,ymd=2022070523_50,50.0
185267.78814113038,2494027.0834849216,hour=14,ymd=2022070522_50,50.0
185916.56428216296,2493209.444608856,hour=15,ymd=2022070521_50,50.0
185979.26787575978,2492532.9968128297,hour=16,ymd=2022070520_50,50.0
185977.06257026913,2491773.5120720007,hour=17,ymd=2022070519_50,50.0
185977.506483036,2491317.4274780843,hour=18,ymd=2022070518_50,50.0
185983.30788961137,2490874.8748967694,hour=19,ymd=2022070517_50,50.0
185975.8507574805,2490549.0676888367,hour=20,ymd=2022070516_50,50.0
185972.61503941743,2490412.5880723842,hour=21,ymd=2022070515_50,50.0
185976.46430658727,2490418.427697117,hour=22,ymd=2022070514_50,50.0
185981.36151295333,2490330.892233605,hour=23,ymd=2022070513_50,50.0
186257.2671429719,2487606.802912379,hour=24,ymd=2022070512_50,50.0
186645.0031980331,2485299.9860337623,hour=25,ymd=2022070511_50,50.0
187486.72820711686,2483998.959177459,hour=26,ymd=2022070510_50,50.0
188318.8721997495,2483496.670422653,hour=27,ymd=2022070509_50,50.0
188992.97370332517,2483849.974598506,hour=28,ymd=2022070508_50,50.0
189044.88736377322,2485518.401023516,hour=29,ymd=2022070507_50,50.0
189194.98476986997,2487192.958541134,hour=30,ymd=2022070506_50,50.0
189370.3978097927,2488852.040649274,hour=31,ymd=2022070505_50,50.0
189587.74793689363,2490190.320897022,hour=32,ymd=2022070504_50,50.0
189949.7882891562,2491259.9104691236,hour=33,ymd=2022070503_50,50.0
