TWD97_x,TWD97_y,zp
179195.47552038115,2507359.697338924,50.0
179195.47552038115,2507359.697338924,50.0
179195.58256364745,2507359.627963349,50.0
179195.79665018004,2507359.4892122,50.0
179196.11777997893,2507359.2810854763,50.0
179196.54595304411,2507359.003583178,50.0
179197.0811693756,2507358.656705305,50.0
179197.72342897338,2507358.2404518574,50.0
179198.47273183745,2507357.7548228353,50.0
179199.32907796782,2507357.1998182386,50.0
179200.2924673645,2507356.5754380673,50.0
179201.36290002745,2507355.8816823214,50.0
179202.5403759567,2507355.118551001,50.0
179203.82489515227,2507354.286044106,50.0
179205.21645761412,2507353.3841616362,50.0
179206.71506334227,2507352.412903592,50.0
179208.32071233672,2507351.372269973,50.0
179210.03340459746,2507350.2622607797,50.0
179211.8531401245,2507349.0828760117,50.0
179213.77991891783,2507347.834115669,50.0
179215.81374097746,2507346.515979752,50.0
179217.9546063034,2507345.12846826,50.0
179220.20251489562,2507343.671581194,50.0
179222.55746675414,2507342.145318553,50.0
179225.01946187895,2507340.5496803373,50.0
179227.58850027007,2507338.884666547,50.0
179230.26458192748,2507337.1502771825,50.0
179233.04770685118,2507335.346512243,50.0
179235.93787504119,2507333.4733717293,50.0
179238.93508649748,2507331.530855641,50.0
179242.03934122008,2507329.5189639777,50.0
179245.25063920897,2507327.43769674,50.0
179248.56898046416,2507325.287053928,50.0
179251.99436498564,2507323.067035541,50.0
179255.52679277342,2507320.7776415795,50.0
179259.1662638275,2507318.4188720435,50.0
179262.91277814787,2507315.990726933,50.0
179266.76633573454,2507313.4932062477,50.0
179270.7269365875,2507310.926309988,50.0
179274.79458070677,2507308.2900381535,50.0
179278.96926809233,2507305.5843907446,50.0
179283.2509987442,2507302.809367761,50.0
179287.63977266234,2507299.964969203,50.0
179292.1355898468,2507297.05119507,50.0
179296.73845029753,2507294.068045363,50.0
179301.44835401457,2507291.015520081,50.0
179306.2653009979,2507287.8936192244,50.0
179311.18929124755,2507284.7023427933,50.0
179316.22032476348,2507281.4416907877,50.0
179321.3584015457,2507278.1116632074,50.0
179326.60352159422,2507274.7122600526,50.0
179331.95568490904,2507271.243481323,50.0
179337.41489149016,2507267.705327019,50.0
179342.98114133757,2507264.0977971405,50.0
179348.65443445128,2507260.4208916873,50.0
179354.43477083129,2507256.6746106595,50.0
179360.3221504776,2507252.858954057,50.0
179366.31657339018,2507248.97392188,50.0
179372.41803956908,2507245.0195141286,50.0
179378.62654901427,2507240.9957308024,50.0
179384.94210172576,2507236.9025719017,50.0
179391.36469770354,2507232.7400374264,50.0
179397.89433694762,2507228.5081273764,50.0
179404.531019458,2507224.206841752,50.0
179411.27474523467,2507219.836180553,50.0
179418.12551427764,2507215.396143779,50.0
179425.0833265869,2507210.886731431,50.0
179432.14818216246,2507206.307943508,50.0
179439.32008100432,2507201.6597800106,50.0
179446.59902311247,2507196.9422409385,50.0
179453.98500848692,2507192.155326292,50.0
179461.47803712767,2507187.2990360707,50.0
179469.07810903472,2507182.373370275,50.0
179476.78522420806,2507177.3783289045,50.0
179484.5993826477,2507172.3139119595,50.0
179492.52058435362,2507167.18011944,50.0
179500.54882932585,2507161.976951346,50.0
179508.68411756438,2507156.704407677,50.0
179516.9264490692,2507151.3624884337,50.0
179525.27582384032,2507145.951193616,50.0
179533.73224187773,2507140.4705232233,50.0
179542.29570318144,2507134.920477256,50.0
179550.96620775145,2507129.3010557145,50.0
179559.74375558776,2507123.612258598,50.0
179568.62834669036,2507117.8540859073,50.0
179577.61998105925,2507112.026537642,50.0
179586.71865869444,2507106.129613802,50.0
179595.92437959593,2507100.163314387,50.0
179605.23714376372,2507094.127639398,50.0
179614.6569511978,2507088.022588834,50.0
179624.18380189818,2507081.8481626958,50.0
179633.81769586485,2507075.604360983,50.0
179643.55863309783,2507069.291183695,50.0
179653.4066135971,2507062.908630833,50.0
179663.36163736266,2507056.4567023963,50.0
179673.42370439452,2507049.935398385,50.0
179683.59281469267,2507043.344718799,50.0
179693.86896825713,2507036.6846636385,50.0
179704.25216508788,2507029.9552329034,50.0
179714.74240518492,2507023.1564265937,50.0
179725.33968854827,2507016.2882447094,50.0
179736.0440151779,2507009.3506872505,50.0
179746.85538507384,2507002.343754217,50.0
179757.77379823607,2506995.267445609,50.0
179768.7992546646,2506988.1217614263,50.0
179779.93175435942,2506980.906701669,50.0
179791.17129732054,2506973.6222663373,50.0
179802.51788354796,2506966.268455431,50.0
179813.97151304167,2506958.84526895,50.0
179825.53218580168,2506951.3527068943,50.0
179837.199901828,2506943.790769264,50.0
179848.9746611206,2506936.1594560593,50.0
179860.8564636795,2506928.45876728,50.0
179872.8453095047,2506920.688702926,50.0
179884.94119859618,2506912.8492629975,50.0
179897.14413095397,2506904.9404474944,50.0
179909.45410657805,2506896.9622564167,50.0
179921.87112546843,2506888.9146897644,50.0
179934.3951876251,2506880.7977475375,50.0
179947.02629304808,2506872.611429736,50.0
179959.76444173735,2506864.35573636,50.0
179972.60963369292,2506856.0306674093,50.0
179985.56186891478,2506847.636222884,50.0
179996.4651867537,2506836.3209994584,50.0
180007.4578760503,2506824.9130283,50.0
180023.63018693906,2506824.3183942586,50.0
180039.93291968983,2506823.7189647816,50.0
180056.3660743026,2506823.114739869,50.0
180072.9296507774,2506822.50571952,50.0
180089.6236491142,2506821.8919037357,50.0
180106.448069313,2506821.2732925154,50.0
180123.4029113738,2506820.6498858593,50.0
180140.4881752966,2506820.0216837674,50.0
180157.70386108142,2506819.3886862397,50.0
180175.04996872824,2506818.750893276,50.0
180192.52649823707,2506818.108304877,50.0
180210.1334496079,2506817.4609210417,50.0
180227.87082284075,2506816.8087417707,50.0
180245.7386179356,2506816.151767064,50.0
180263.73683489245,2506815.4899969213,50.0
180281.8654737113,2506814.823431343,50.0
180300.12453439218,2506814.1520703286,50.0
180318.51401693505,2506813.4759138785,50.0
180337.03392133993,2506812.7949619927,50.0
180355.6842476068,2506812.109214671,50.0
180374.4649957357,2506811.4186719134,50.0
180393.3761657266,2506810.72333372,50.0
180412.4177575795,2506810.023200091,50.0
180431.5897712944,2506809.318271026,50.0
180450.89220687133,2506808.6085465252,50.0
180470.32506431025,2506807.8940265886,50.0
180489.88834361118,2506807.1747112162,50.0
180509.5820447741,2506806.450600408,50.0
180529.40616779905,2506805.721694164,50.0
180549.360712686,2506804.987992484,50.0
180569.44567943495,2506804.2494953685,50.0
180589.6610680459,2506803.506202817,50.0
180610.00687851888,2506802.7581148297,50.0
180630.48311085385,2506802.0052314065,50.0
180651.08976505083,2506801.2475525476,50.0
180671.8268411098,2506800.485078253,50.0
180692.6943390308,2506799.7178085223,50.0
180713.6922588138,2506798.945743356,50.0
180734.8206004588,2506798.1688827537,50.0
180756.0793639658,2506797.3872267157,50.0
180777.46854933482,2506796.600775242,50.0
180798.98815656584,2506795.809528332,50.0
180820.63818565887,2506795.0134859867,50.0
180842.4186366139,2506794.2126482055,50.0
180864.32950943094,2506793.4070149884,50.0
180886.37080411,2506792.5965863355,50.0
