TWD97_x,TWD97_y,zp
214690.85501306076,2669881.8573183604,50.0
214690.85501306076,2669881.8573183604,50.0
214691.01340963264,2669881.7740816064,50.0
214691.3302027764,2669881.6076080985,50.0
214691.805392492,2669881.3578978367,50.0
214692.4389787795,2669881.024950821,50.0
214693.23096163888,2669880.6087670512,50.0
214694.18134107013,2669880.1093465276,50.0
214695.29011707325,2669879.52668925,50.0
214696.55728964825,2669878.8607952185,50.0
214697.98285879512,2669878.111664433,50.0
214699.56682451387,2669877.2792968936,50.0
214701.3091868045,2669876.3636926003,50.0
214703.20994566698,2669875.364851553,50.0
214705.26910110135,2669874.2827737518,50.0
214707.4866531076,2669873.1174591966,50.0
214709.86260168572,2669871.8689078875,50.0
214712.3969468357,2669870.5371198244,50.0
214715.08968855758,2669869.1220950074,50.0
214717.94082685132,2669867.6238334365,50.0
214720.95036171694,2669866.0423351116,50.0
214724.11829315443,2669864.377600033,50.0
214727.4446211638,2669862.6296282,50.0
214730.92934574504,2669860.7984196134,50.0
214734.57246689816,2669858.8839742728,50.0
214738.37398462315,2669856.886292178,50.0
214742.33389892,2669854.8053733297,50.0
214746.45220978875,2669852.641217727,50.0
214750.72891722937,2669850.393825371,50.0
214755.16402124186,2669848.0631962605,50.0
214759.75752182622,2669845.649330396,50.0
214764.50941898246,2669843.152227778,50.0
214769.41971271057,2669840.571888406,50.0
214774.48840301056,2669837.9083122797,50.0
214779.71548988242,2669835.1614993997,50.0
214785.10097332616,2669832.3314497657,50.0
214790.64485334177,2669829.418163378,50.0
214796.34712992926,2669826.421640236,50.0
214802.20780308862,2669823.34188034,50.0
214808.22687281985,2669820.1788836904,50.0
214814.40433912296,2669816.9326502867,50.0
214820.74020199795,2669813.603180129,50.0
214827.2344614448,2669810.1904732175,50.0
214833.88711746354,2669806.694529552,50.0
214840.69817005415,2669803.1153491326,50.0
214847.66761921663,2669799.452931959,50.0
214854.795464951,2669795.707278032,50.0
214862.08170725722,2669791.8783873506,50.0
214869.52634613533,2669787.9662599154,50.0
214877.1293815853,2669783.9708957262,50.0
214884.89081360717,2669779.892294783,50.0
214892.8106422009,2669775.730457086,50.0
214900.8888673665,2669771.485382635,50.0
214909.125489104,2669767.1570714302,50.0
214917.52050741334,2669762.7455234714,50.0
214926.07392229457,2669758.2507387586,50.0
214934.78573374767,2669753.672717292,50.0
214943.65594177265,2669749.011459071,50.0
214952.6845463695,2669744.2669640966,50.0
214961.87154753823,2669739.439232368,50.0
214971.21694527884,2669734.5282638855,50.0
214980.7207395913,2669729.534058649,50.0
214990.38293047567,2669724.4566166587,50.0
215000.2035179319,2669719.2959379144,50.0
215010.18250196,2669714.052022416,50.0
215020.31988255997,2669708.724870164,50.0
215030.61565973182,2669703.314481158,50.0
215041.06983347554,2669697.8208553977,50.0
215051.68240379114,2669692.2439928837,50.0
215062.45337067862,2669686.5838936158,50.0
215073.38273413797,2669680.840557594,50.0
215084.4704941692,2669675.013984818,50.0
215095.7166507723,2669669.104175288,50.0
215107.12120394726,2669663.1111290045,50.0
215118.6841536941,2669657.034845967,50.0
215130.40550001283,2669650.8753261752,50.0
215142.28524290342,2669644.6325696297,50.0
215154.3233823659,2669638.30657633,50.0
215166.51991840024,2669631.897346277,50.0
215178.87485100646,2669625.4048794694,50.0
215191.38818018456,2669618.829175908,50.0
215204.05990593453,2669612.170235593,50.0
215216.89002825637,2669605.4280585237,50.0
215229.8785471501,2669598.6026447006,50.0
215243.02546261568,2669591.6939941235,50.0
215256.33077465315,2669584.7021067925,50.0
215269.7944832625,2669577.6269827075,50.0
215283.4165884437,2669570.4686218686,50.0
215297.1970901968,2669563.227024276,50.0
215311.13598852177,2669555.902189929,50.0
215325.2332834186,2669548.4941188283,50.0
215339.48897488732,2669541.0028109737,50.0
215353.90306292792,2669533.428266365,50.0
215368.47554754038,2669525.7704850025,50.0
215383.20642872472,2669518.029466886,50.0
215398.09570648093,2669510.2052120157,50.0
215413.14338080902,2669502.2977203913,50.0
215428.349451709,2669494.306992013,50.0
215443.71391918082,2669486.233026881,50.0
215459.23678322454,2669478.0758249946,50.0
215474.91804384012,2669469.8353863545,50.0
215490.75770102759,2669461.5117109604,50.0
215506.75575478692,2669453.1047988124,50.0
215522.91220511813,2669444.6146499105,50.0
215539.22705202122,2669436.0412642546,50.0
215555.70029549618,2669427.384641845,50.0
215572.331935543,2669418.644782681,50.0
215589.12197216172,2669409.8216867633,50.0
215606.0704053523,2669400.9153540917,50.0
215623.17723511477,2669391.925784666,50.0
215640.4424614491,2669382.8529784866,50.0
215657.8660843553,2669373.696935553,50.0
215675.4481038334,2669364.4576558657,50.0
215693.18851988335,2669355.1351394244,50.0
215711.08733250518,2669345.729386229,50.0
215729.1445416989,2669336.24039628,50.0
215747.36014746447,2669326.6681695767,50.0
215765.73414980192,2669317.0127061196,50.0
215784.26654871125,2669307.2740059085,50.0
215802.95734419246,2669297.4520689435,50.0
215821.80653624554,2669287.5468952246,50.0
215840.8141248705,2669277.5584847517,50.0
215859.98011006732,2669267.486837525,50.0
215879.30449183602,2669257.331953544,50.0
215898.7872701766,2669247.0938328095,50.0
215918.42844508906,2669236.772475321,50.0
215938.22801657338,2669226.3678810783,50.0
215958.18598462958,2669215.8800500818,50.0
215978.30234925766,2669205.3089823313,50.0
215998.5771104576,2669194.654677827,50.0
216024.76475365777,2669192.2241743747,50.0
216051.15540184398,2669189.7748298105,50.0
216077.74905501623,2669187.306644134,50.0
216104.54571317454,2669184.819617346,50.0
216131.54537631889,2669182.3137494456,50.0
216158.74804444928,2669179.7890404332,50.0
216186.15371756573,2669177.245490309,50.0
216213.76239566822,2669174.6830990724,50.0
216241.57407875676,2669172.101866724,50.0
216269.58876683135,2669169.5017932635,50.0
216297.806459892,2669166.882878691,50.0
216326.22715793867,2669164.2451230064,50.0
216354.8508609714,2669161.58852621,50.0
216383.67756899018,2669158.913088301,50.0
216412.707281995,2669156.2188092805,50.0
216441.9399999859,2669153.505689148,50.0
216471.3757229628,2669150.773727903,50.0
216501.01445092578,2669148.0229255464,50.0
216530.8561838748,2669145.2532820776,50.0
216560.90092180987,2669142.464797497,50.0
216591.14866473098,2669139.657471804,50.0
216621.59941263814,2669136.831304999,50.0
216652.25316553135,2669133.986297082,50.0
216683.1099234106,2669131.122448053,50.0
216714.1696862759,2669128.2397579122,50.0
216745.43245412727,2669125.338226659,50.0
216776.89822696467,2669122.417854294,50.0
216808.5670047881,2669119.478640817,50.0
216840.4387875976,2669116.520586228,50.0
216872.51357539315,2669113.543690527,50.0
216904.79136817475,2669110.5479537137,50.0
216937.27216594238,2669107.5333757885,50.0
216969.95596869607,2669104.4999567512,50.0
217002.8427764358,2669101.447696602,50.0
217035.9325891616,2669098.3765953407,50.0
217069.22540687342,2669095.2866529673,50.0
217102.7212295713,2669092.177869482,50.0
217136.42005725522,2669089.0502448846,50.0
217170.3218899252,2669085.903779175,50.0
217204.42672758122,2669082.7384723537,50.0
217238.73457022329,2669079.55432442,50.0
217273.2454178514,2669076.3513353746,50.0
217307.95927046557,2669073.129505217,50.0
217342.87612806578,2669069.8888339475,50.0
217377.99599065204,2669066.629321566,50.0
217413.31885822435,2669063.350968072,50.0
217448.8447307827,2669060.0537734665,50.0
217484.5736083271,2669056.737737749,50.0
217520.50549085755,2669053.402860919,50.0
217556.64037837405,2669050.049142977,50.0
217592.9782708766,2669046.6765839234,50.0
217629.5191683652,2669043.2851837575,50.0
217666.26307083984,2669039.8749424797,50.0
217703.20997830053,2669036.4458600897,50.0
217740.35989074726,2669032.997936588,50.0
217777.71280818005,2669029.531171974,50.0
217815.26873059888,2669026.045566248,50.0
217853.02765800376,2669022.5411194097,50.0
217890.9895903947,2669019.0178314596,50.0
217929.15452777167,2669015.4757023975,50.0
217967.5224701347,2669011.9147322234,50.0
218006.09341748376,2669008.334920937,50.0
218044.86736981888,2669004.736268539,50.0
218083.84432714005,2669001.1187750287,50.0
218123.02428944726,2668997.4824404065,50.0
218162.40725674052,2668993.827264672,50.0
218201.99322901983,2668990.153247826,50.0
218241.7822062852,2668986.4603898674,50.0
218281.7741885366,2668982.748690797,50.0
218321.96917577405,2668979.0181506146,50.0
218362.36716799755,2668975.26876932,50.0
218402.9681652071,2668971.5005469136,50.0
218443.7721674027,2668967.713483395,50.0
218484.77917458434,2668963.9075787645,50.0
218525.98918675203,2668960.082833022,50.0
218567.40220390577,2668956.2392461672,50.0
218609.01822604556,2668952.3768182006,50.0
218650.8372531714,2668948.495549122,50.0
218692.85928528328,2668944.595438931,50.0
218735.0843223812,2668940.6764876284,50.0
218777.5123644652,2668936.7386952136,50.0
218820.14341153522,2668932.7820616867,50.0
218862.9774635913,2668928.806587048,50.0
218906.0145206334,2668924.812271297,50.0
218949.25458266158,2668920.799114434,50.0
218992.6976496758,2668916.767116459,50.0
219028.49139534254,2668905.9008338023,50.0
219064.45162354727,2668894.984010296,50.0
219100.57833428998,2668884.01664594,50.0
219136.87152757068,2668872.9987407345,50.0
219173.33120338936,2668861.9302946795,50.0
219209.95736174603,2668850.811307775,50.0
219246.75000264068,2668839.6417800207,50.0
219283.7091260733,2668828.421711417,50.0
219308.73408067544,2668822.5228192024,50.0
219333.87125480492,2668816.5974745564,50.0
219359.12064846177,2668810.645677479,50.0
219384.482261646,2668804.66742797,50.0
219409.95609435756,2668798.6627260298,50.0
219435.5421465965,2668792.631571658,50.0
219461.2404183628,2668786.5739648547,50.0
219487.05090965648,2668780.48990562,50.0
219512.9736204775,2668774.379393954,50.0
219539.0085508259,2668768.242429856,50.0
219565.15570070167,2668762.079013327,50.0
219591.4150701048,2668755.8891443666,50.0
219617.78665903528,2668749.6728229746,50.0
219644.27046749313,2668743.430049151,50.0
219670.86649547835,2668737.1608228963,50.0
219697.57474299092,2668730.86514421,50.0
219724.39521003087,2668724.543013092,50.0
219751.32789659817,2668718.194429543,50.0
219751.32789659817,2668718.194429543,50.0
219751.43586512972,2668718.1744341273,50.0
219751.65180219282,2668718.134443296,50.0
219751.97570778747,2668718.0744570494,50.0
219752.40758191366,2668717.994475387,50.0
219752.9474245714,2668717.894498309,50.0
219753.5952357607,2668717.7745258156,50.0
219754.35101548154,2668717.6345579065,50.0
219755.21476373394,2668717.474594582,50.0
219756.18648051788,2668717.2946358416,50.0
219757.26616583337,2668717.094681686,50.0
219758.4538196804,2668716.8747321144,50.0
219759.749442059,2668716.6347871274,50.0
219761.15303296913,2668716.374846725,50.0
219762.66459241082,2668716.0949109066,50.0
219764.28412038405,2668715.794979673,50.0
219766.01161688883,2668715.4750530235,50.0
219767.84708192517,2668715.1351309586,50.0
219769.79051549305,2668714.775213478,50.0
219771.84191759248,2668714.395300582,50.0
219774.00128822346,2668713.9953922704,50.0
219776.268627386,2668713.575488543,50.0
219778.64393508006,2668713.1355894003,50.0
219781.1272113057,2668712.675694842,50.0
219783.71845606287,2668712.195804868,50.0
219786.4176693516,2668711.6959194783,50.0
219789.22485117186,2668711.176038673,50.0
219792.1400015237,2668710.6361624524,50.0
219795.16312040706,2668710.076290816,50.0
219798.29420782198,2668709.496423764,50.0
219801.53326376845,2668708.8965612967,50.0
219804.88028824647,2668708.2767034136,50.0
219808.33528125603,2668707.636850115,50.0
219811.89824279715,2668706.9770014007,50.0
219815.56917286981,2668706.297157271,50.0
219819.34807147403,2668705.5973177254,50.0
219823.2349386098,2668704.8774827644,50.0
219827.2297742771,2668704.137652388,50.0
219831.33257847597,2668703.3778265957,50.0
219835.54335120638,2668702.598005388,50.0
219839.86209246833,2668701.7981887646,50.0
219844.28880226184,2668700.9783767257,50.0
219848.8234805869,2668700.138569271,50.0
219853.4661274435,2668699.278766401,50.0
219858.21674283166,2668698.3989681154,50.0
219863.07532675136,2668697.499174414,50.0
219868.04187920262,2668696.5793852974,50.0
219873.11640018542,2668695.639600765,50.0
219878.29888969977,2668694.679820817,50.0
219883.58934774567,2668693.7000454534,50.0
219888.98777432312,2668692.700274674,50.0
219894.49416943212,2668691.6805084795,50.0
219900.10853307266,2668690.640746869,50.0
219905.83086524476,2668689.5809898432,50.0
219911.6611659484,2668688.5012374017,50.0
219917.5994351836,2668687.4014895447,50.0
219923.64567295034,2668686.281746272,50.0
219929.79987924863,2668685.1420075838,50.0
219936.06205407847,2668683.98227348,50.0
219942.43219743986,2668682.8025439605,50.0
219948.9103093328,2668681.6028190255,50.0
219955.4963897573,2668680.383098675,50.0
219962.19043871333,2668679.143382909,50.0
219968.9924562009,2668677.883671727,50.0
219975.90244222005,2668676.6039651297,50.0
219982.92039677073,2668675.304263117,50.0
219990.04631985296,2668673.9845656883,50.0
219997.28021146674,2668672.644872844,50.0
220004.62207161207,2668671.2851845846,50.0
220012.07190028895,2668669.9055009093,50.0
220019.62969749738,2668668.5058218185,50.0
220027.29546323736,2668667.086147312,50.0
220035.06919750888,2668665.64647739,50.0
220042.95090031196,2668664.1868120525,50.0
220050.94057164658,2668662.7071512993,50.0
220059.03821151276,2668661.2074951306,50.0
220067.24381991048,2668659.6878435463,50.0
220075.55739683975,2668658.1481965464,50.0
220083.97894230057,2668656.588554131,50.0
220092.50845629294,2668655.0089163,50.0
220101.14593881686,2668653.409283053,50.0
220109.89138987233,2668651.789654391,50.0
220118.74480945934,2668650.150030313,50.0
220127.7061975779,2668648.4904108196,50.0
220136.77555422802,2668646.8107959107,50.0
220145.95287940968,2668645.111185586,50.0
220155.2381731229,2668643.391579846,50.0
220164.63143536766,2668641.65197869,50.0
220174.13266614397,2668639.892382119,50.0
220183.74186545183,2668638.112790132,50.0
220193.45903329123,2668636.3132027294,50.0
220203.2841696622,2668634.4936199114,50.0
220213.2172745647,2668632.6540416777,50.0
220223.25834799875,2668630.7944680285,50.0
220233.40738996436,2668628.9148989636,50.0
220243.6644004615,2668627.0153344832,50.0
220254.0293794902,2668625.0957745872,50.0
220264.50232705046,2668623.1562192757,50.0
