xp,yp,Hour,ymdh,zp
214690.85501306076,2669881.8573183604,hour=0,ymd=2022051912_50,50.0
214031.52452014704,2668842.3208580203,hour=1,ymd=2022051911_50,50.0
215637.4946905411,2668420.8804960493,hour=2,ymd=2022051910_50,50.0
217865.1440996415,2667234.7993173767,hour=3,ymd=2022051909_50,50.0
219808.50031835205,2666227.138607245,hour=4,ymd=2022051908_50,50.0
220631.86305639418,2665832.348950849,hour=5,ymd=2022051907_50,50.0
220564.93620489808,2665834.4027062105,hour=6,ymd=2022051906_50,50.0
220749.36304934593,2665834.249826231,hour=7,ymd=2022051905_50,50.0
221147.7200876576,2665945.15692477,hour=8,ymd=2022051904_50,50.0
221384.74684577706,2666287.8734255666,hour=9,ymd=2022051903_50,50.0
221508.8456856114,2666823.301426404,hour=10,ymd=2022051902_50,50.0
221563.15202798965,2667487.8310678983,hour=11,ymd=2022051901_50,50.0
221586.9004105431,2668198.741605141,hour=12,ymd=2022051900_50,50.0
221686.2403186815,2668824.8692695936,hour=13,ymd=2022051823_50,50.0
222600.53939541095,2668830.100960302,hour=14,ymd=2022051822_50,50.0
223591.03493800797,2668832.627084392,hour=15,ymd=2022051821_50,50.0
224582.6535167521,2668841.071508703,hour=16,ymd=2022051820_50,50.0
225169.68861353808,2669092.4301368864,hour=17,ymd=2022051819_50,50.0
225732.69127336555,2669331.5411978336,hour=18,ymd=2022051818_50,50.0
226561.41854566746,2669292.922206384,hour=19,ymd=2022051817_50,50.0
227678.39736295157,2668893.103629698,hour=20,ymd=2022051816_50,50.0
227969.2403047275,2668829.570798495,hour=21,ymd=2022051815_50,50.0
227662.22308536284,2668756.590733894,hour=22,ymd=2022051814_50,50.0
227781.60846124627,2667987.62821778,hour=23,ymd=2022051813_50,50.0
228678.66527391915,2669283.257055574,hour=24,ymd=2022051812_50,50.0
229082.85052778517,2669832.237091803,hour=25,ymd=2022051811_50,50.0
228693.45066411738,2670142.8073167736,hour=26,ymd=2022051810_50,50.0
227977.62501421143,2670072.571637719,hour=27,ymd=2022051809_50,50.0
227968.6638336325,2669507.0627837023,hour=28,ymd=2022051808_50,50.0
227917.0668173371,2668831.620173457,hour=29,ymd=2022051807_50,50.0
227279.53714002427,2668838.9996663136,hour=30,ymd=2022051806_50,50.0
226559.9528865939,2668832.740845884,hour=31,ymd=2022051805_50,50.0
225816.4372310577,2668844.851325755,hour=32,ymd=2022051804_50,50.0
225081.70837135744,2668847.476478723,hour=33,ymd=2022051803_50,50.0
224977.56452838835,2668843.105808069,hour=34,ymd=2022051802_50,50.0
224982.3189696422,2668845.886554231,hour=35,ymd=2022051801_50,50.0
224981.22962740195,2668980.2397540426,hour=36,ymd=2022051800_50,50.0
224985.6545181213,2669259.4206648404,hour=37,ymd=2022051723_50,50.0
224987.86970466506,2669675.0039809467,hour=38,ymd=2022051722_50,50.0
224988.5236510843,2670217.107335427,hour=39,ymd=2022051721_50,50.0
225089.05171016455,2670781.4744101698,hour=40,ymd=2022051720_50,50.0
225409.20516016186,2671219.897030019,hour=41,ymd=2022051719_50,50.0
225972.20781998933,2671459.0080909664,hour=42,ymd=2022051718_50,50.0
226800.93509229124,2671420.389099517,hour=43,ymd=2022051717_50,50.0
227917.91390957535,2671020.570522831,hour=44,ymd=2022051716_50,50.0
228117.90304191635,2671314.152988908,hour=45,ymd=2022051715_50,50.0
228699.78999279664,2671026.161597972,hour=46,ymd=2022051714_50,50.0
229838.31610463784,2669941.9802361773,hour=47,ymd=2022051713_50,50.0
230898.31711881087,2670681.910164063,hour=48,ymd=2022051712_50,50.0
231355.80493162983,2672470.8496170016,hour=49,ymd=2022051711_50,50.0
230988.00779238009,2673707.467082617,hour=50,ymd=2022051710_50,50.0
230549.91660751068,2673615.112779158,hour=51,ymd=2022051709_50,50.0
229424.72975365483,2673225.662199053,hour=52,ymd=2022051708_50,50.0
227978.88545736336,2672567.8318643,hour=53,ymd=2022051707_50,50.0
227797.3821956817,2671600.926423113,hour=54,ymd=2022051706_50,50.0
227217.97736057677,2671046.5259498013,hour=55,ymd=2022051705_50,50.0
226521.27399766483,2670674.4109644396,hour=56,ymd=2022051704_50,50.0
225788.22965437212,2670517.375959794,hour=57,ymd=2022051703_50,50.0
225081.25415244736,2670582.9303622646,hour=58,ymd=2022051702_50,50.0
224984.3874588985,2670593.75789583,hour=59,ymd=2022051701_50,50.0
224980.5084726926,2670729.6735132197,hour=60,ymd=2022051700_50,50.0
224985.63588370048,2671008.3971799472,hour=61,ymd=2022051623_50,50.0
224987.85107024424,2671423.9804960536,hour=62,ymd=2022051622_50,50.0
224998.5949465245,2671823.729702835,hour=63,ymd=2022051621_50,50.0
225248.6413748324,2671829.189518244,hour=64,ymd=2022051620_50,50.0
225726.06563215182,2671818.333511063,hour=65,ymd=2022051619_50,50.0
226398.35032398478,2671824.9496763656,hour=66,ymd=2022051618_50,50.0
227227.0775962867,2671786.330684916,hour=67,ymd=2022051617_50,50.0
227986.4088153992,2671722.343453129,hour=68,ymd=2022051616_50,50.0
228344.1597986635,2671825.330682452,hour=69,ymd=2022051615_50,50.0
228926.04674954378,2671537.3392915158,hour=70,ymd=2022051614_50,50.0
230064.57286138498,2670453.1579297213,hour=71,ymd=2022051613_50,50.0
231153.41948456728,2671540.3859152226,hour=72,ymd=2022051612_50,50.0
231635.8806335371,2673129.477282691,hour=73,ymd=2022051611_50,50.0
231268.08349428736,2674366.094748306,hour=74,ymd=2022051610_50,50.0
230646.1910319891,2674517.071850163,hour=75,ymd=2022051609_50,50.0
229521.00417813324,2674127.6212700577,hour=76,ymd=2022051608_50,50.0
227965.8289538365,2673466.1912296237,hour=77,ymd=2022051607_50,50.0
227874.5088774007,2672355.7187683405,hour=78,ymd=2022051606_50,50.0
227420.9633820545,2671458.953855642,hour=79,ymd=2022051605_50,50.0
226724.26001914256,2671086.8388702804,hour=80,ymd=2022051604_50,50.0
225991.21567584985,2670929.803865635,hour=81,ymd=2022051603_50,50.0
225284.2401739251,2670995.3582681054,hour=82,ymd=2022051602_50,50.0
224978.66185035222,2671106.466028773,hour=83,ymd=2022051601_50,50.0
224982.64966012948,2671237.975628593,hour=84,ymd=2022051600_50,50.0
224979.83318787478,2671521.8696705764,hour=85,ymd=2022051523_50,50.0
224979.9590780236,2671832.060210063,hour=86,ymd=2022051522_50,50.0
225013.99046561625,2671836.5900220675,hour=87,ymd=2022051521_50,50.0
225267.12758200374,2671830.496688436,hour=88,ymd=2022051520_50,50.0
