TWD97_x,TWD97_y,zp
301263.60048314865,2767355.824947714,50.0
301263.60048314865,2767355.824947714,50.0
301263.74926318164,2767356.0747991493,50.0
301264.0468232476,2767356.57450202,50.0
301264.4931633466,2767357.3240563264,50.0
301265.0882834786,2767358.323462068,50.0
301265.83218364354,2767359.572719245,50.0
301266.7248638415,2767361.0718278578,50.0
301267.76632407244,2767362.8207879057,50.0
301268.9565643364,2767364.819599389,50.0
301270.2955846333,2767367.068262308,50.0
301271.78338496323,2767369.566776662,50.0
301273.41996532615,2767372.315142452,50.0
301275.20532572205,2767375.313359677,50.0
301277.13946615095,2767378.5614283374,50.0
301279.22238661285,2767382.0593484333,50.0
301281.45408710773,2767385.8071199646,50.0
301283.8345676356,2767389.8047429314,50.0
301286.3638281965,2767394.0522173336,50.0
301289.04186879034,2767398.549543171,50.0
301291.8686894172,2767403.296720444,50.0
301294.84429007705,2767408.2937491527,50.0
301297.9686707699,2767413.5406292966,50.0
301301.2418314957,2767419.037360876,50.0
301304.66377225454,2767424.7839438906,50.0
301308.23449304636,2767430.7803783407,50.0
301311.95399387117,2767437.0266642263,50.0
301315.82227472897,2767443.5228015473,50.0
301319.83933561976,2767450.2687903037,50.0
301324.00517654355,2767457.2646304956,50.0
301328.3197975003,2767464.510322123,50.0
301332.7831984901,2767472.0058651855,50.0
301337.39537951286,2767479.7512596836,50.0
301342.1563405686,2767487.746505617,50.0
301347.06608165737,2767495.991602986,50.0
301352.1246027791,2767504.4865517905,50.0
301357.33190393384,2767513.2313520303,50.0
301362.68798512156,2767522.2260037055,50.0
301368.1928463423,2767531.470506816,50.0
301373.846487596,2767540.9648613622,50.0
301379.6489088827,2767550.7090673437,50.0
301385.6001102024,2767560.7031247607,50.0
301391.7000915551,2767570.947033613,50.0
301397.94885294075,2767581.4407939008,50.0
301404.3463943594,2767592.184405624,50.0
301410.8927158111,2767603.1778687825,50.0
301417.58781729575,2767614.4211833766,50.0
301424.4316988134,2767625.914349406,50.0
301431.42436036404,2767637.657366871,50.0
301438.56580194767,2767649.650235771,50.0
301445.8560235643,2767661.892956107,50.0
301453.2950252139,2767674.385527878,50.0
301460.8828068965,2767687.1279510846,50.0
301468.6193686121,2767700.1202257266,50.0
301476.5047103607,2767713.362351804,50.0
301484.5388321423,2767726.854329317,50.0
301492.7217339569,2767740.596158265,50.0
301501.05341580446,2767754.587838649,50.0
301509.533877685,2767768.829370468,50.0
301518.1631195986,2767783.3207537225,50.0
301526.94114154513,2767798.0619884124,50.0
301535.8679435247,2767813.053074538,50.0
301544.9435255372,2767828.2940120986,50.0
301554.16788758273,2767843.784801095,50.0
301563.12366801436,2767858.5678225,50.0
301572.22160369094,2767873.585495039,50.0
301581.46169461246,2767888.837818711,50.0
301590.8439407789,2767904.3247935167,50.0
301600.36834219034,2767920.0464194557,50.0
301610.0348988467,2767936.002696528,50.0
301619.843610748,2767952.193624734,50.0
301629.79447789426,2767968.619204073,50.0
301639.88750028546,2767985.279434546,50.0
301650.1226779216,2768002.174316152,50.0
301660.5000108027,2768019.3038488915,50.0
301671.01949892874,2768036.6680327645,50.0
301681.6811422997,2768054.266867771,50.0
301692.48494091566,2768072.1003539106,50.0
301703.43089477654,2768090.168491184,50.0
301714.51900388236,2768108.4712795904,50.0
301725.74926823314,2768127.0087191304,50.0
301737.12168782885,2768145.780809804,50.0
301748.6362626695,2768164.7875516107,50.0
301760.29299275513,2768184.028944551,50.0
301772.0918780857,2768203.5049886247,50.0
301784.0329186612,2768223.215683832,50.0
301796.11611448164,2768243.1610301724,50.0
301808.34146554704,2768263.3410276463,50.0
301820.7089718574,2768283.7556762537,50.0
301833.2186334127,2768304.4049759945,50.0
301845.8704502129,2768325.2889268687,50.0
301858.6644222581,2768346.4075288763,50.0
301871.6005495482,2768367.7607820174,50.0
301884.6788320833,2768389.348686292,50.0
301897.8992698633,2768411.1712416997,50.0
301911.2618628883,2768433.228448241,50.0
301924.7666111582,2768455.5203059157,50.0
301938.41351467307,2768478.046814724,50.0
301952.2025734329,2768500.8079746654,50.0
301966.13378743763,2768523.8037857404,50.0
301980.20715668733,2768547.034247949,50.0
301994.422681182,2768570.4993612906,50.0
302008.7803609216,2768594.199125766,50.0
302023.2801959061,2768618.1335413745,50.0
302037.9221861356,2768642.3026081165,50.0
302052.70633161004,2768666.706325992,50.0
302067.6326323294,2768691.344695001,50.0
302082.70108829375,2768716.217715143,50.0
302097.911699503,2768741.325386419,50.0
302113.26446595724,2768766.667708828,50.0
302128.7593876564,2768792.2446823707,50.0
302144.3964646005,2768818.0563070467,50.0
302160.1756967896,2768844.102582856,50.0
302176.0970842236,2768870.383509799,50.0
302192.16062690254,2768896.899087875,50.0
302208.36632482643,2768923.649317085,50.0
302224.7141779953,2768950.634197428,50.0
302241.2041864091,2768977.8537289044,50.0
302257.8363500678,2769005.3079115143,50.0
302274.6106689715,2769032.9967452576,50.0
302291.5271431201,2769060.9202301344,50.0
302308.5857725137,2769089.0783661446,50.0
302325.7865571522,2769117.471153288,50.0
302343.1294970357,2769146.098591565,50.0
302360.6145921641,2769174.9606809756,50.0
302378.2418425375,2769204.0574215194,50.0
302396.0112481558,2769233.3888131967,50.0
302413.92280901904,2769262.9548560074,50.0
302431.97652512725,2769292.7555499515,50.0
302450.1723964804,2769322.790895029,50.0
302468.5104230785,2769353.06089124,50.0
302486.99060492154,2769383.5655385843,50.0
302505.6129420095,2769414.304837062,50.0
302524.37743434246,2769445.278786673,50.0
302543.28408192034,2769476.487387418,50.0
302562.33288474317,2769507.930639296,50.0
302581.52384281094,2769539.6085423073,50.0
302600.85695612367,2769571.521096452,50.0
302620.33222468133,2769603.6683017304,50.0
302639.94964848395,2769636.050158142,50.0
302659.7092275315,2769668.666665687,50.0
302679.610961824,2769701.5178243658,50.0
302699.65485136147,2769734.6036341777,50.0
302719.84089614387,2769767.924095123,50.0
302740.1690961712,2769801.479207202,50.0
302760.6394514435,2769835.268970414,50.0
302781.25196196075,2769869.2933847597,50.0
302802.00662772293,2769903.5524502387,50.0
302822.90344873007,2769938.046166851,50.0
302843.94242498215,2769972.774534597,50.0
302865.1235564792,2770007.7375534764,50.0
302886.44684322114,2770042.935223489,50.0
302907.91228520806,2770078.367544635,50.0
302929.5198824399,2770114.0345169147,50.0
302951.26963491674,2770149.9361403277,50.0
302973.1615426385,2770186.072414874,50.0
302995.1956056052,2770222.443340554,50.0
303017.6239664846,2770261.3114345213,50.0
303040.19609890814,2770300.4286829373,50.0
303062.91200287576,2770339.7950858017,50.0
303085.7716783875,2770379.4106431147,50.0
303108.7751254433,2770419.275354876,50.0
303131.9223440432,2770459.389221086,50.0
303155.2133341872,2770499.7522417447,50.0
303178.64809587534,2770540.3644168517,50.0
303202.22662910755,2770581.225746407,50.0
303225.94893388386,2770622.336230411,50.0
303249.8150102043,2770663.6958688637,50.0
303273.8248580688,2770705.3046617648,50.0
303297.9784774774,2770747.1626091143,50.0
303322.2758684301,2770789.2697109124,50.0
303346.7170309269,2770831.625967159,50.0
303371.3019649678,2770874.231377854,50.0
303396.62560430105,2770914.003730788,50.0
303422.09647409554,2770954.007318332,50.0
303447.71457435127,2770994.242140486,50.0
303473.47990506823,2771034.70819725,50.0
303499.39246624644,2771075.4054886242,50.0
303525.4522578859,2771116.3340146085,50.0
303551.6592799866,2771157.493775203,50.0
303578.0135325485,2771198.8847704073,50.0
303604.51501557167,2771240.507000222,50.0
303631.1637290561,2771282.3604646465,50.0
303657.9596730017,2771324.445163681,50.0
303684.9028474086,2771366.761097326,50.0
303711.99325227673,2771409.308265581,50.0
303739.2308876061,2771452.0866684457,50.0
303766.6157533967,2771495.0963059207,50.0
303794.14784964855,2771538.337178006,50.0
303821.82717636164,2771581.809284701,50.0
303849.65373353596,2771625.5126260063,50.0
303877.6275211715,2771669.4472019216,50.0
303905.74853926833,2771713.613012447,50.0
303934.0167878264,2771758.0100575825,50.0
303962.43226684566,2771802.638337328,50.0
303990.9949763262,2771847.4978516838,50.0
304019.70491626795,2771892.5886006495,50.0
304048.56208667095,2771937.9105842253,50.0
304077.5664875352,2771983.463802411,50.0
304106.7181188607,2772029.248255207,50.0
304136.0169806474,2772075.2639426133,50.0
304165.46307289536,2772121.5108646294,50.0
304195.05639560457,2772167.9890212556,50.0
304224.796948775,2772214.698412492,50.0
304254.6847324067,2772261.6390383383,50.0
304284.7197464996,2772308.810898795,50.0
304314.9019910538,2772356.2139938613,50.0
304345.2314660692,2772403.848323538,50.0
304375.7081715458,2772451.7138878247,50.0
304406.3321074837,2772499.8106867215,50.0
304437.1032738828,2772548.1387202283,50.0
304468.0216707432,2772596.6979883453,50.0
304499.0872980648,2772645.4884910723,50.0
304530.3001558476,2772694.5102284094,50.0
304561.6602440917,2772743.7632003566,50.0
304593.167562797,2772793.247406914,50.0
304624.8221119636,2772842.9628480813,50.0
304656.6238915914,2772892.9095238587,50.0
304688.5729016804,2772943.087434246,50.0
304720.6691422307,2772993.496579244,50.0
304752.9126132422,2773044.1369588515,50.0
