xp,yp,Hour,ymdh,zp
301263.60048314865,2767355.824947714,hour=0,ymd=2022072312_50,50.0
295998.10875509615,2764633.9878967246,hour=1,ymd=2022072311_50,50.0
291061.48374234076,2762078.72227507,hour=2,ymd=2022072310_50,50.0
289574.76516817446,2757495.880952879,hour=3,ymd=2022072309_50,50.0
292239.3742580035,2751208.251910313,hour=4,ymd=2022072308_50,50.0
295544.64542993094,2744449.6002562633,hour=5,ymd=2022072307_50,50.0
296054.81328729173,2736313.8526177993,hour=6,ymd=2022072306_50,50.0
295157.7700073757,2726509.0344311288,hour=7,ymd=2022072305_50,50.0
293190.12596975645,2715711.442760139,hour=8,ymd=2022072304_50,50.0
290448.34069286665,2704023.3930427125,hour=9,ymd=2022072303_50,50.0
287750.07400411746,2691398.166152685,hour=10,ymd=2022072302_50,50.0
285078.50171292207,2678358.5590597084,hour=11,ymd=2022072301_50,50.0
282385.33988126,2664547.293163388,hour=12,ymd=2022072300_50,50.0
279255.6769768708,2651423.390692561,hour=13,ymd=2022072223_50,50.0
276276.55440258613,2638865.019416242,hour=14,ymd=2022072222_50,50.0
273572.75317103794,2626462.879895835,hour=15,ymd=2022072221_50,50.0
270910.93959197035,2615369.515035658,hour=16,ymd=2022072220_50,50.0
268843.82049378386,2605653.018593519,hour=17,ymd=2022072219_50,50.0
267409.53460403165,2596914.858519762,hour=18,ymd=2022072218_50,50.0
266559.56232584646,2588917.5090267053,hour=19,ymd=2022072217_50,50.0
266138.24178960646,2580669.4025955787,hour=20,ymd=2022072216_50,50.0
265881.6738592219,2570993.9829092612,hour=21,ymd=2022072215_50,50.0
264916.40353749885,2559805.0826613596,hour=22,ymd=2022072214_50,50.0
262822.07738764776,2547698.9903885415,hour=23,ymd=2022072213_50,50.0
259598.3393583913,2534675.188900887,hour=24,ymd=2022072212_50,50.0
256851.9946844597,2521538.2733999183,hour=25,ymd=2022072211_50,50.0
254018.55350895418,2509497.409643202,hour=26,ymd=2022072210_50,50.0
