lng,lat,Title,VI,date
120.44083333333332,23.46277777777698,0,123.5,2022-06-07 12:00:00
120.40032014553904,23.471901219259863,1,144.5,2022-06-07 11:00:00
120.36939964820309,23.46961497432004,2,113.9,2022-06-07 10:00:00
120.34722120565937,23.468243611998098,3,78.7,2022-06-07 09:00:00
120.33527213611391,23.46688225742136,4,55.7,2022-06-07 08:00:00
120.3296105156689,23.46578430771363,5,48.1,2022-06-07 07:00:00
120.33016328390651,23.4659757737891,6,49.6,2022-06-07 06:00:00
120.3366926527302,23.46812583498673,7,51.1,2022-06-07 05:00:00
120.34880022044553,23.46843561574129,8,46.4,2022-06-07 04:00:00
120.3642433055178,23.46851627936237,9,36.0,2022-06-07 03:00:00
120.38388134629932,23.468577786067804,10,13.6,2022-06-07 02:00:00
120.40117070474028,23.468678163782023,11,16.8,2022-06-07 01:00:00
120.41547929454492,23.46879975951972,12,30.7,2022-06-07 00:00:00
120.42245900114068,23.469929141749805,13,40.9,2022-06-06 23:00:00
120.43155131347372,23.47544656279516,14,53.7,2022-06-06 22:00:00
120.44277454274646,23.48586251238793,15,73.8,2022-06-06 21:00:00
120.44296243075004,23.504264134618417,16,90.1,2022-06-06 20:00:00
120.44286406174211,23.525048688168223,17,109.4,2022-06-06 19:00:00
120.44540481891823,23.55338644383396,18,127.2,2022-06-06 18:00:00
120.45417696555933,23.577647202414592,19,142.8,2022-06-06 17:00:00
120.47436664324373,23.58768245330444,20,143.7,2022-06-06 16:00:00
120.48754091098392,23.60062468062945,21,151.9,2022-06-06 15:00:00
120.49067245326792,23.609159425536017,22,162.1,2022-06-06 14:00:00
120.48019074215568,23.60917066572362,23,155.2,2022-06-06 13:00:00
120.46356539232876,23.61279075424999,24,140.0,2022-06-06 12:00:00
120.45600532759572,23.614099336777038,25,135.7,2022-06-06 11:00:00
120.45509527742996,23.61088066876094,26,128.6,2022-06-06 10:00:00
120.452631967597,23.60898409258125,27,122.7,2022-06-06 09:00:00
120.451849634899,23.60696846270177,28,116.0,2022-06-06 08:00:00
120.45515954325607,23.603517450391998,29,106.4,2022-06-06 07:00:00
120.46056560721016,23.600334494823542,30,102.3,2022-06-06 06:00:00
120.46644689997645,23.598807625656317,31,104.8,2022-06-06 05:00:00
120.47180626173062,23.59983241731665,32,111.7,2022-06-06 04:00:00
120.476177896683,23.604215354506543,33,119.2,2022-06-06 03:00:00
120.47663534430072,23.60913051673777,34,119.1,2022-06-06 02:00:00
120.47291875364894,23.609296279714748,35,114.4,2022-06-06 01:00:00
120.47295403099804,23.609895998826,36,111.3,2022-06-06 00:00:00
120.4729734950814,23.609430045715904,37,107.4,2022-06-05 23:00:00
120.47301410229848,23.60906931896077,38,102.8,2022-06-05 22:00:00
120.47508246666088,23.60913855269214,39,98.4,2022-06-05 21:00:00
120.48051726549772,23.60910737143877,40,92.5,2022-06-05 20:00:00
120.4879284775618,23.60914927880545,41,131.8,2022-06-05 19:00:00
120.49504397980502,23.60909797417807,42,193.9,2022-06-05 18:00:00
120.50021334470698,23.60917163231856,43,209.4,2022-06-05 17:00:00
120.50180579931056,23.609207501730875,44,152.6,2022-06-05 16:00:00
120.49898092097008,23.60924721123944,45,118.3,2022-06-05 15:00:00
120.49154351871248,23.609148312496707,46,2180.4,2022-06-05 14:00:00
120.48103026548822,23.609130931860918,47,71.6,2022-06-05 13:00:00
120.46404935576145,23.612607075280632,48,126.6,2022-06-05 12:00:00
120.4564893074076,23.613915682882315,49,223.1,2022-06-05 11:00:00
120.4555792459764,23.61069701812369,50,349.9,2022-06-05 10:00:00
120.45290079714698,23.608949673576483,51,474.8,2022-06-05 09:00:00
